"config_tag","scenario","intervention","efficacy_maternal","efficacy_infant","dur_protection_maternal","dur_protection_infant","price_mAb_sens_factor","year","country_iso","coverage_maternal","coverage_infant","efficacy_maternal_mean","efficacy_maternal_stdev","efficacy_maternal_hosp_mean","efficacy_maternal_hosp_stdev","efficacy_maternal_cfr_mean","efficacy_maternal_cfr_stdev","efficacy_maternal_lognormal"
"maternal_least_in_favor","least_in_favor","maternal",NA,0,0.416666666666667,0,1,2020,"AZE",0.98,0,-0.5011422,0.2308664,-0.539565,0.186141,-0.539565,0.186141,1
"mAb_least_in_favor","least_in_favor","mAb",0,0.7,0,0.5,1,2020,"AZE",0,0.98,0,0,0,0,0,0,0
"maternal_least_in_favor","least_in_favor","maternal",NA,0,0.416666666666667,0,1,2020,"BDI",0.93,0,-0.5011422,0.2308664,-0.539565,0.186141,-0.539565,0.186141,1
"mAb_least_in_favor","least_in_favor","mAb",0,0.7,0,0.5,1,2020,"BDI",0,0.93,0,0,0,0,0,0,0
"maternal_least_in_favor","least_in_favor","maternal",NA,0,0.416666666666667,0,1,2020,"BEN",0.97,0,-0.5011422,0.2308664,-0.539565,0.186141,-0.539565,0.186141,1
"mAb_least_in_favor","least_in_favor","mAb",0,0.7,0,0.5,1,2020,"BEN",0,0.97,0,0,0,0,0,0,0
"maternal_least_in_favor","least_in_favor","maternal",NA,0,0.416666666666667,0,1,2020,"BFA",0.98,0,-0.5011422,0.2308664,-0.539565,0.186141,-0.539565,0.186141,1
"mAb_least_in_favor","least_in_favor","mAb",0,0.7,0,0.5,1,2020,"BFA",0,0.98,0,0,0,0,0,0,0
"maternal_least_in_favor","least_in_favor","maternal",NA,0,0.416666666666667,0,1,2020,"BGD",0.99,0,-0.5011422,0.2308664,-0.539565,0.186141,-0.539565,0.186141,1
"mAb_least_in_favor","least_in_favor","mAb",0,0.7,0,0.5,1,2020,"BGD",0,0.99,0,0,0,0,0,0,0
"maternal_least_in_favor","least_in_favor","maternal",NA,0,0.416666666666667,0,1,2020,"BOL",0.96,0,-0.5011422,0.2308664,-0.539565,0.186141,-0.539565,0.186141,1
"mAb_least_in_favor","least_in_favor","mAb",0,0.7,0,0.5,1,2020,"BOL",0,0.96,0,0,0,0,0,0,0
"maternal_least_in_favor","least_in_favor","maternal",NA,0,0.416666666666667,0,1,2020,"BTN",0.99,0,-0.5011422,0.2308664,-0.539565,0.186141,-0.539565,0.186141,1
"mAb_least_in_favor","least_in_favor","mAb",0,0.7,0,0.5,1,2020,"BTN",0,0.99,0,0,0,0,0,0,0
"maternal_least_in_favor","least_in_favor","maternal",NA,0,0.416666666666667,0,1,2020,"CAF",0.62,0,-0.5011422,0.2308664,-0.539565,0.186141,-0.539565,0.186141,1
"mAb_least_in_favor","least_in_favor","mAb",0,0.7,0,0.5,1,2020,"CAF",0,0.62,0,0,0,0,0,0,0
"maternal_least_in_favor","least_in_favor","maternal",NA,0,0.416666666666667,0,1,2020,"CIV",0.95,0,-0.5011422,0.2308664,-0.539565,0.186141,-0.539565,0.186141,1
"mAb_least_in_favor","least_in_favor","mAb",0,0.7,0,0.5,1,2020,"CIV",0,0.95,0,0,0,0,0,0,0
"maternal_least_in_favor","least_in_favor","maternal",NA,0,0.416666666666667,0,1,2020,"CMR",0.7,0,-0.5011422,0.2308664,-0.539565,0.186141,-0.539565,0.186141,1
"mAb_least_in_favor","least_in_favor","mAb",0,0.7,0,0.5,1,2020,"CMR",0,0.7,0,0,0,0,0,0,0
"maternal_least_in_favor","least_in_favor","maternal",NA,0,0.416666666666667,0,1,2020,"COD",0.92,0,-0.5011422,0.2308664,-0.539565,0.186141,-0.539565,0.186141,1
"mAb_least_in_favor","least_in_favor","mAb",0,0.7,0,0.5,1,2020,"COD",0,0.92,0,0,0,0,0,0,0
"maternal_least_in_favor","least_in_favor","maternal",NA,0,0.416666666666667,0,1,2020,"COG",0.82,0,-0.5011422,0.2308664,-0.539565,0.186141,-0.539565,0.186141,1
"mAb_least_in_favor","least_in_favor","mAb",0,0.7,0,0.5,1,2020,"COG",0,0.82,0,0,0,0,0,0,0
"maternal_least_in_favor","least_in_favor","maternal",NA,0,0.416666666666667,0,1,2020,"COM",0.94,0,-0.5011422,0.2308664,-0.539565,0.186141,-0.539565,0.186141,1
"mAb_least_in_favor","least_in_favor","mAb",0,0.7,0,0.5,1,2020,"COM",0,0.94,0,0,0,0,0,0,0
"maternal_least_in_favor","least_in_favor","maternal",NA,0,0.416666666666667,0,1,2020,"DJI",0.9,0,-0.5011422,0.2308664,-0.539565,0.186141,-0.539565,0.186141,1
"mAb_least_in_favor","least_in_favor","mAb",0,0.7,0,0.5,1,2020,"DJI",0,0.9,0,0,0,0,0,0,0
"maternal_least_in_favor","least_in_favor","maternal",NA,0,0.416666666666667,0,1,2020,"ERI",0.97,0,-0.5011422,0.2308664,-0.539565,0.186141,-0.539565,0.186141,1
"mAb_least_in_favor","least_in_favor","mAb",0,0.7,0,0.5,1,2020,"ERI",0,0.97,0,0,0,0,0,0,0
"maternal_least_in_favor","least_in_favor","maternal",NA,0,0.416666666666667,0,1,2020,"ETH",0.92,0,-0.5011422,0.2308664,-0.539565,0.186141,-0.539565,0.186141,1
"mAb_least_in_favor","least_in_favor","mAb",0,0.7,0,0.5,1,2020,"ETH",0,0.92,0,0,0,0,0,0,0
"maternal_least_in_favor","least_in_favor","maternal",NA,0,0.416666666666667,0,1,2020,"GEO",0.98,0,-0.5011422,0.2308664,-0.539565,0.186141,-0.539565,0.186141,1
"mAb_least_in_favor","least_in_favor","mAb",0,0.7,0,0.5,1,2020,"GEO",0,0.98,0,0,0,0,0,0,0
"maternal_least_in_favor","least_in_favor","maternal",NA,0,0.416666666666667,0,1,2020,"GHA",0.94,0,-0.5011422,0.2308664,-0.539565,0.186141,-0.539565,0.186141,1
"mAb_least_in_favor","least_in_favor","mAb",0,0.7,0,0.5,1,2020,"GHA",0,0.94,0,0,0,0,0,0,0
"maternal_least_in_favor","least_in_favor","maternal",NA,0,0.416666666666667,0,1,2020,"GIN",0.86,0,-0.5011422,0.2308664,-0.539565,0.186141,-0.539565,0.186141,1
"mAb_least_in_favor","least_in_favor","mAb",0,0.7,0,0.5,1,2020,"GIN",0,0.86,0,0,0,0,0,0,0
"maternal_least_in_favor","least_in_favor","maternal",NA,0,0.416666666666667,0,1,2020,"GMB",0.98,0,-0.5011422,0.2308664,-0.539565,0.186141,-0.539565,0.186141,1
"mAb_least_in_favor","least_in_favor","mAb",0,0.7,0,0.5,1,2020,"GMB",0,0.98,0,0,0,0,0,0,0
"maternal_least_in_favor","least_in_favor","maternal",NA,0,0.416666666666667,0,1,2020,"GNB",0.83,0,-0.5011422,0.2308664,-0.539565,0.186141,-0.539565,0.186141,1
"mAb_least_in_favor","least_in_favor","mAb",0,0.7,0,0.5,1,2020,"GNB",0,0.83,0,0,0,0,0,0,0
"maternal_least_in_favor","least_in_favor","maternal",NA,0,0.416666666666667,0,1,2020,"GUY",0.95,0,-0.5011422,0.2308664,-0.539565,0.186141,-0.539565,0.186141,1
"mAb_least_in_favor","least_in_favor","mAb",0,0.7,0,0.5,1,2020,"GUY",0,0.95,0,0,0,0,0,0,0
"maternal_least_in_favor","least_in_favor","maternal",NA,0,0.416666666666667,0,1,2020,"HND",0.99,0,-0.5011422,0.2308664,-0.539565,0.186141,-0.539565,0.186141,1
"mAb_least_in_favor","least_in_favor","mAb",0,0.7,0,0.5,1,2020,"HND",0,0.99,0,0,0,0,0,0,0
"maternal_least_in_favor","least_in_favor","maternal",NA,0,0.416666666666667,0,1,2020,"HTI",0.63,0,-0.5011422,0.2308664,-0.539565,0.186141,-0.539565,0.186141,1
"mAb_least_in_favor","least_in_favor","mAb",0,0.7,0,0.5,1,2020,"HTI",0,0.63,0,0,0,0,0,0,0
"maternal_least_in_favor","least_in_favor","maternal",NA,0,0.416666666666667,0,1,2020,"IDN",0.9,0,-0.5011422,0.2308664,-0.539565,0.186141,-0.539565,0.186141,1
"mAb_least_in_favor","least_in_favor","mAb",0,0.7,0,0.5,1,2020,"IDN",0,0.9,0,0,0,0,0,0,0
"maternal_least_in_favor","least_in_favor","maternal",NA,0,0.416666666666667,0,1,2020,"IND",0.89,0,-0.5011422,0.2308664,-0.539565,0.186141,-0.539565,0.186141,1
"mAb_least_in_favor","least_in_favor","mAb",0,0.7,0,0.5,1,2020,"IND",0,0.89,0,0,0,0,0,0,0
"maternal_least_in_favor","least_in_favor","maternal",NA,0,0.416666666666667,0,1,2020,"KEN",0.86,0,-0.5011422,0.2308664,-0.539565,0.186141,-0.539565,0.186141,1
"mAb_least_in_favor","least_in_favor","mAb",0,0.7,0,0.5,1,2020,"KEN",0,0.86,0,0,0,0,0,0,0
"maternal_least_in_favor","least_in_favor","maternal",NA,0,0.416666666666667,0,1,2020,"KGZ",0.97,0,-0.5011422,0.2308664,-0.539565,0.186141,-0.539565,0.186141,1
"mAb_least_in_favor","least_in_favor","mAb",0,0.7,0,0.5,1,2020,"KGZ",0,0.97,0,0,0,0,0,0,0
"maternal_least_in_favor","least_in_favor","maternal",NA,0,0.416666666666667,0,1,2020,"KHM",0.99,0,-0.5011422,0.2308664,-0.539565,0.186141,-0.539565,0.186141,1
"mAb_least_in_favor","least_in_favor","mAb",0,0.7,0,0.5,1,2020,"KHM",0,0.99,0,0,0,0,0,0,0
"maternal_least_in_favor","least_in_favor","maternal",NA,0,0.416666666666667,0,1,2020,"KIR",0.79,0,-0.5011422,0.2308664,-0.539565,0.186141,-0.539565,0.186141,1
"mAb_least_in_favor","least_in_favor","mAb",0,0.7,0,0.5,1,2020,"KIR",0,0.79,0,0,0,0,0,0,0
"maternal_least_in_favor","least_in_favor","maternal",NA,0,0.416666666666667,0,1,2020,"LAO",0.78,0,-0.5011422,0.2308664,-0.539565,0.186141,-0.539565,0.186141,1
"mAb_least_in_favor","least_in_favor","mAb",0,0.7,0,0.5,1,2020,"LAO",0,0.78,0,0,0,0,0,0,0
"maternal_least_in_favor","least_in_favor","maternal",NA,0,0.416666666666667,0,1,2020,"LBR",0.97,0,-0.5011422,0.2308664,-0.539565,0.186141,-0.539565,0.186141,1
"mAb_least_in_favor","least_in_favor","mAb",0,0.7,0,0.5,1,2020,"LBR",0,0.97,0,0,0,0,0,0,0
"maternal_least_in_favor","least_in_favor","maternal",NA,0,0.416666666666667,0,1,2020,"LKA",0.99,0,-0.5011422,0.2308664,-0.539565,0.186141,-0.539565,0.186141,1
"mAb_least_in_favor","least_in_favor","mAb",0,0.7,0,0.5,1,2020,"LKA",0,0.99,0,0,0,0,0,0,0
"maternal_least_in_favor","least_in_favor","maternal",NA,0,0.416666666666667,0,1,2020,"LSO",0.68,0,-0.5011422,0.2308664,-0.539565,0.186141,-0.539565,0.186141,1
"mAb_least_in_favor","least_in_favor","mAb",0,0.7,0,0.5,1,2020,"LSO",0,0.68,0,0,0,0,0,0,0
"maternal_least_in_favor","least_in_favor","maternal",NA,0,0.416666666666667,0,1,2020,"MDA",0.97,0,-0.5011422,0.2308664,-0.539565,0.186141,-0.539565,0.186141,1
"mAb_least_in_favor","least_in_favor","mAb",0,0.7,0,0.5,1,2020,"MDA",0,0.97,0,0,0,0,0,0,0
"maternal_least_in_favor","least_in_favor","maternal",NA,0,0.416666666666667,0,1,2020,"MDG",0.92,0,-0.5011422,0.2308664,-0.539565,0.186141,-0.539565,0.186141,1
"mAb_least_in_favor","least_in_favor","mAb",0,0.7,0,0.5,1,2020,"MDG",0,0.92,0,0,0,0,0,0,0
"maternal_least_in_favor","least_in_favor","maternal",NA,0,0.416666666666667,0,1,2020,"MLI",0.92,0,-0.5011422,0.2308664,-0.539565,0.186141,-0.539565,0.186141,1
"mAb_least_in_favor","least_in_favor","mAb",0,0.7,0,0.5,1,2020,"MLI",0,0.92,0,0,0,0,0,0,0
"maternal_least_in_favor","least_in_favor","maternal",NA,0,0.416666666666667,0,1,2020,"MMR",0.88,0,-0.5011422,0.2308664,-0.539565,0.186141,-0.539565,0.186141,1
"mAb_least_in_favor","least_in_favor","mAb",0,0.7,0,0.5,1,2020,"MMR",0,0.88,0,0,0,0,0,0,0
"maternal_least_in_favor","least_in_favor","maternal",NA,0,0.416666666666667,0,1,2020,"MNG",0.99,0,-0.5011422,0.2308664,-0.539565,0.186141,-0.539565,0.186141,1
"mAb_least_in_favor","least_in_favor","mAb",0,0.7,0,0.5,1,2020,"MNG",0,0.99,0,0,0,0,0,0,0
"maternal_least_in_favor","least_in_favor","maternal",NA,0,0.416666666666667,0,1,2020,"MOZ",0.99,0,-0.5011422,0.2308664,-0.539565,0.186141,-0.539565,0.186141,1
"mAb_least_in_favor","least_in_favor","mAb",0,0.7,0,0.5,1,2020,"MOZ",0,0.99,0,0,0,0,0,0,0
"maternal_least_in_favor","least_in_favor","maternal",NA,0,0.416666666666667,0,1,2020,"MRT",0.99,0,-0.5011422,0.2308664,-0.539565,0.186141,-0.539565,0.186141,1
"mAb_least_in_favor","least_in_favor","mAb",0,0.7,0,0.5,1,2020,"MRT",0,0.99,0,0,0,0,0,0,0
"maternal_least_in_favor","least_in_favor","maternal",NA,0,0.416666666666667,0,1,2020,"MWI",0.86,0,-0.5011422,0.2308664,-0.539565,0.186141,-0.539565,0.186141,1
"mAb_least_in_favor","least_in_favor","mAb",0,0.7,0,0.5,1,2020,"MWI",0,0.86,0,0,0,0,0,0,0
"maternal_least_in_favor","least_in_favor","maternal",NA,0,0.416666666666667,0,1,2020,"NER",0.99,0,-0.5011422,0.2308664,-0.539565,0.186141,-0.539565,0.186141,1
"mAb_least_in_favor","least_in_favor","mAb",0,0.7,0,0.5,1,2020,"NER",0,0.99,0,0,0,0,0,0,0
"maternal_least_in_favor","least_in_favor","maternal",NA,0,0.416666666666667,0,1,2020,"NGA",0.58,0,-0.5011422,0.2308664,-0.539565,0.186141,-0.539565,0.186141,1
"mAb_least_in_favor","least_in_favor","mAb",0,0.7,0,0.5,1,2020,"NGA",0,0.58,0,0,0,0,0,0,0
"maternal_least_in_favor","least_in_favor","maternal",NA,0,0.416666666666667,0,1,2020,"NIC",0.99,0,-0.5011422,0.2308664,-0.539565,0.186141,-0.539565,0.186141,1
"mAb_least_in_favor","least_in_favor","mAb",0,0.7,0,0.5,1,2020,"NIC",0,0.99,0,0,0,0,0,0,0
"maternal_least_in_favor","least_in_favor","maternal",NA,0,0.416666666666667,0,1,2020,"NPL",0.93,0,-0.5011422,0.2308664,-0.539565,0.186141,-0.539565,0.186141,1
"mAb_least_in_favor","least_in_favor","mAb",0,0.7,0,0.5,1,2020,"NPL",0,0.93,0,0,0,0,0,0,0
"maternal_least_in_favor","least_in_favor","maternal",NA,0,0.416666666666667,0,1,2020,"PAK",0.89,0,-0.5011422,0.2308664,-0.539565,0.186141,-0.539565,0.186141,1
"mAb_least_in_favor","least_in_favor","mAb",0,0.7,0,0.5,1,2020,"PAK",0,0.89,0,0,0,0,0,0,0
"maternal_least_in_favor","least_in_favor","maternal",NA,0,0.416666666666667,0,1,2020,"PNG",0.72,0,-0.5011422,0.2308664,-0.539565,0.186141,-0.539565,0.186141,1
"mAb_least_in_favor","least_in_favor","mAb",0,0.7,0,0.5,1,2020,"PNG",0,0.72,0,0,0,0,0,0,0
"maternal_least_in_favor","least_in_favor","maternal",NA,0,0.416666666666667,0,1,2020,"PRK",0.97,0,-0.5011422,0.2308664,-0.539565,0.186141,-0.539565,0.186141,1
"mAb_least_in_favor","least_in_favor","mAb",0,0.7,0,0.5,1,2020,"PRK",0,0.97,0,0,0,0,0,0,0
"maternal_least_in_favor","least_in_favor","maternal",NA,0,0.416666666666667,0,1,2020,"RWA",0.99,0,-0.5011422,0.2308664,-0.539565,0.186141,-0.539565,0.186141,1
"mAb_least_in_favor","least_in_favor","mAb",0,0.7,0,0.5,1,2020,"RWA",0,0.99,0,0,0,0,0,0,0
"maternal_least_in_favor","least_in_favor","maternal",NA,0,0.416666666666667,0,1,2020,"SDN",0.96,0,-0.5011422,0.2308664,-0.539565,0.186141,-0.539565,0.186141,1
"mAb_least_in_favor","least_in_favor","mAb",0,0.7,0,0.5,1,2020,"SDN",0,0.96,0,0,0,0,0,0,0
"maternal_least_in_favor","least_in_favor","maternal",NA,0,0.416666666666667,0,1,2020,"SEN",0.97,0,-0.5011422,0.2308664,-0.539565,0.186141,-0.539565,0.186141,1
"mAb_least_in_favor","least_in_favor","mAb",0,0.7,0,0.5,1,2020,"SEN",0,0.97,0,0,0,0,0,0,0
"maternal_least_in_favor","least_in_favor","maternal",NA,0,0.416666666666667,0,1,2020,"SLB",0.8,0,-0.5011422,0.2308664,-0.539565,0.186141,-0.539565,0.186141,1
"mAb_least_in_favor","least_in_favor","mAb",0,0.7,0,0.5,1,2020,"SLB",0,0.8,0,0,0,0,0,0,0
"maternal_least_in_favor","least_in_favor","maternal",NA,0,0.416666666666667,0,1,2020,"SLE",0.92,0,-0.5011422,0.2308664,-0.539565,0.186141,-0.539565,0.186141,1
"mAb_least_in_favor","least_in_favor","mAb",0,0.7,0,0.5,1,2020,"SLE",0,0.92,0,0,0,0,0,0,0
"maternal_least_in_favor","least_in_favor","maternal",NA,0,0.416666666666667,0,1,2020,"SOM",0.59,0,-0.5011422,0.2308664,-0.539565,0.186141,-0.539565,0.186141,1
"mAb_least_in_favor","least_in_favor","mAb",0,0.7,0,0.5,1,2020,"SOM",0,0.59,0,0,0,0,0,0,0
"maternal_least_in_favor","least_in_favor","maternal",NA,0,0.416666666666667,0,1,2020,"SSD",0.52,0,-0.5011422,0.2308664,-0.539565,0.186141,-0.539565,0.186141,1
"mAb_least_in_favor","least_in_favor","mAb",0,0.7,0,0.5,1,2020,"SSD",0,0.52,0,0,0,0,0,0,0
"maternal_least_in_favor","least_in_favor","maternal",NA,0,0.416666666666667,0,1,2020,"STP",0.92,0,-0.5011422,0.2308664,-0.539565,0.186141,-0.539565,0.186141,1
"mAb_least_in_favor","least_in_favor","mAb",0,0.7,0,0.5,1,2020,"STP",0,0.92,0,0,0,0,0,0,0
"maternal_least_in_favor","least_in_favor","maternal",NA,0,0.416666666666667,0,1,2020,"TCD",0.75,0,-0.5011422,0.2308664,-0.539565,0.186141,-0.539565,0.186141,1
"mAb_least_in_favor","least_in_favor","mAb",0,0.7,0,0.5,1,2020,"TCD",0,0.75,0,0,0,0,0,0,0
"maternal_least_in_favor","least_in_favor","maternal",NA,0,0.416666666666667,0,1,2020,"TGO",0.79,0,-0.5011422,0.2308664,-0.539565,0.186141,-0.539565,0.186141,1
"mAb_least_in_favor","least_in_favor","mAb",0,0.7,0,0.5,1,2020,"TGO",0,0.79,0,0,0,0,0,0,0
"maternal_least_in_favor","least_in_favor","maternal",NA,0,0.416666666666667,0,1,2020,"TJK",0.98,0,-0.5011422,0.2308664,-0.539565,0.186141,-0.539565,0.186141,1
"mAb_least_in_favor","least_in_favor","mAb",0,0.7,0,0.5,1,2020,"TJK",0,0.98,0,0,0,0,0,0,0
"maternal_least_in_favor","least_in_favor","maternal",NA,0,0.416666666666667,0,1,2020,"TLS",0.95,0,-0.5011422,0.2308664,-0.539565,0.186141,-0.539565,0.186141,1
"mAb_least_in_favor","least_in_favor","mAb",0,0.7,0,0.5,1,2020,"TLS",0,0.95,0,0,0,0,0,0,0
"maternal_least_in_favor","least_in_favor","maternal",NA,0,0.416666666666667,0,1,2020,"TZA",0.99,0,-0.5011422,0.2308664,-0.539565,0.186141,-0.539565,0.186141,1
"mAb_least_in_favor","least_in_favor","mAb",0,0.7,0,0.5,1,2020,"TZA",0,0.99,0,0,0,0,0,0,0
"maternal_least_in_favor","least_in_favor","maternal",NA,0,0.416666666666667,0,1,2020,"UGA",0.94,0,-0.5011422,0.2308664,-0.539565,0.186141,-0.539565,0.186141,1
"mAb_least_in_favor","least_in_favor","mAb",0,0.7,0,0.5,1,2020,"UGA",0,0.94,0,0,0,0,0,0,0
"maternal_least_in_favor","least_in_favor","maternal",NA,0,0.416666666666667,0,1,2020,"UKR",0.75,0,-0.5011422,0.2308664,-0.539565,0.186141,-0.539565,0.186141,1
"mAb_least_in_favor","least_in_favor","mAb",0,0.7,0,0.5,1,2020,"UKR",0,0.75,0,0,0,0,0,0,0
"maternal_least_in_favor","least_in_favor","maternal",NA,0,0.416666666666667,0,1,2020,"UZB",0.99,0,-0.5011422,0.2308664,-0.539565,0.186141,-0.539565,0.186141,1
"mAb_least_in_favor","least_in_favor","mAb",0,0.7,0,0.5,1,2020,"UZB",0,0.99,0,0,0,0,0,0,0
"maternal_least_in_favor","least_in_favor","maternal",NA,0,0.416666666666667,0,1,2020,"VNM",0.95,0,-0.5011422,0.2308664,-0.539565,0.186141,-0.539565,0.186141,1
"mAb_least_in_favor","least_in_favor","mAb",0,0.7,0,0.5,1,2020,"VNM",0,0.95,0,0,0,0,0,0,0
"maternal_least_in_favor","least_in_favor","maternal",NA,0,0.416666666666667,0,1,2020,"YEM",0.73,0,-0.5011422,0.2308664,-0.539565,0.186141,-0.539565,0.186141,1
"mAb_least_in_favor","least_in_favor","mAb",0,0.7,0,0.5,1,2020,"YEM",0,0.73,0,0,0,0,0,0,0
"maternal_least_in_favor","least_in_favor","maternal",NA,0,0.416666666666667,0,1,2020,"ZMB",0.99,0,-0.5011422,0.2308664,-0.539565,0.186141,-0.539565,0.186141,1
"mAb_least_in_favor","least_in_favor","mAb",0,0.7,0,0.5,1,2020,"ZMB",0,0.99,0,0,0,0,0,0,0
"maternal_least_in_favor","least_in_favor","maternal",NA,0,0.416666666666667,0,1,2020,"ZWE",0.95,0,-0.5011422,0.2308664,-0.539565,0.186141,-0.539565,0.186141,1
"mAb_least_in_favor","least_in_favor","mAb",0,0.7,0,0.5,1,2020,"ZWE",0,0.95,0,0,0,0,0,0,0
