age,lx,life_expectancy,nMx,lx_rate,life_expectancy_disc,pop
0,100000,66.53793517111293,0.03211548924137931,1,28.66927995382093,120973.60791666668
1,99736.62280372808,66.63421445255493,0.029671762594293924,0.9973662280372808,28.6825673163734,120654.99101990678
2,99473.24560745616,66.73049373399691,0.02722803594720854,0.9947324560745616,28.695854678925873,120336.37412314687
3,99209.86841118426,66.8267730154389,0.024784309300123153,0.9920986841118425,28.709142041478344,120017.757226387
4,98946.49121491234,66.92305229688088,0.022340582653037767,0.9894649121491235,28.722429404030812,119699.1403296271
5,98683.11401864042,67.01933157832288,0.019896856005952382,0.9868311401864043,28.735639060094034,119380.5234328672
6,98419.73682236852,67.11561085976487,0.017453129358866996,0.9841973682236852,28.748539412086725,119061.90653610732
7,98156.3596260966,67.21189014120685,0.015009402711781607,0.981563596260966,28.761439764079416,118743.28963934741
8,97892.98242982468,67.30816942264885,0.012565676064696225,0.9789298242982468,28.774340116072107,118424.67274258751
9,97629.60523355276,67.40444870409083,0.010121949417610836,0.9762960523355276,28.787240468064795,118106.05584582762
10,97366.22803728085,67.50072798553282,0.007678222770525451,0.9736622803728084,28.800140820057486,117787.43894906771
11,97102.85084100894,67.5970072669748,0.005234496123440065,0.9710285084100894,28.813041172050173,117468.82205230782
12,96839.47364473702,67.6932865484168,0.00279076947635468,0.9683947364473703,28.825941524042864,117150.20515554794
13,96816.9836542604,67.62560184262871,0.0027561527482245487,0.968169836542604,28.81687252689093,117122.99820264825
14,96794.49366378378,67.55791713684062,0.002721536020094417,0.9679449366378379,28.80780352973899,117095.79124974857
15,96772.00367330716,67.49023243105253,0.002686919291964286,0.9677200367330716,28.79873453258705,117068.58429684887
16,96749.51368283055,67.42254772526445,0.0026523025638341543,0.9674951368283056,28.789665535435116,117041.37734394922
17,96727.02369235393,67.35486301947637,0.002617685835704023,0.9672702369235393,28.780596538283177,117014.17039104953
18,96704.53370187731,67.28717831368829,0.002583069107573892,0.9670453370187732,28.771527541131242,116986.96343814985
19,96682.04371140069,67.21949360790019,0.0025484523794437604,0.9668204371140069,28.762458543979303,116959.75648525015
20,96659.55372092407,67.15180890211211,0.002513835651313629,0.9665955372092407,28.753389546827368,116932.54953235049
21,96637.06373044747,67.08412419632403,0.0024792189231834976,0.9663706373044747,28.74432054967543,116905.34257945082
22,96614.57373997085,67.01643949053593,0.0024446021950533664,0.9661457373997084,28.73525155252349,116878.13562655113
23,96592.08374949422,66.94875478474785,0.0024099854669232352,0.9659208374949423,28.72597656671913,116850.92867365146
24,96569.5937590176,66.88107007895977,0.0023753687387931036,0.965695937590176,28.716635499652632,116823.72172075177
25,96550.50074495836,66.81089236323803,0.0023407520106629724,0.9655050074495837,28.706950375938234,116800.62421278429
26,96531.40773089914,66.74071464751628,0.002306135282532841,0.9653140773089914,28.697265252223836,116777.5267048168
27,96512.3147168399,66.67053693179456,0.0022715185544027097,0.965123147168399,28.687580128509442,116754.42919684929
28,96493.22170278068,66.60035921607282,0.002236901826272578,0.9649322170278067,28.677895004795044,116731.33168888181
29,96474.12868872144,66.53018150035108,0.002202285098142447,0.9647412868872144,28.668209881080646,116708.23418091431
30,96455.03567466221,66.46000378462935,0.0021676683700123153,0.9645503567466222,28.65852475736625,116685.13667294684
31,96435.94266060297,66.38982606890761,0.002133051641882184,0.9643594266060297,28.64883963365185,116662.03916497935
32,96416.84964654373,66.31964835318587,0.002098434913752053,0.9641684964654373,28.639154509937452,116638.94165701185
33,96397.75663248451,66.24947063746413,0.0020638181856219213,0.9639775663248451,28.629469386223054,116615.84414904437
34,96378.66361842527,66.17929292174239,0.00202920145749179,0.9637866361842528,28.619784262508656,116592.74664107687
35,96359.57060436605,66.10911520602066,0.0019945847293616585,0.9635957060436605,28.61009913879426,116569.64913310939
36,96340.47759030681,66.03893749029892,0.0019599680012315273,0.9634047759030681,28.600414015079863,116546.55162514187
37,96324.75764619115,65.9663191991419,0.001925351273101396,0.9632475764619115,28.590252623986647,116527.5346415827
38,96309.0377020755,65.89370090798488,0.0018907345449712645,0.963090377020755,28.579930021714013,116508.5176580235
39,96293.31775795983,65.82108261682787,0.0018561178168411332,0.9629331775795983,28.56960741944138,116489.50067446429
40,96277.59781384417,65.74846432567085,0.0018215010887110018,0.9627759781384417,28.55928481716875,116470.4836909051
41,96261.87786972852,65.67584603451384,0.0017868843605808704,0.9626187786972852,28.548962214896115,116451.46670734591
42,96246.15792561285,65.60322774335683,0.001752267632450739,0.9624615792561284,28.538639612623484,116432.44972378669
43,96230.43798149719,65.5306094521998,0.0017176509043206076,0.9623043798149719,28.52831701035085,116413.4327402275
44,96214.71803738154,65.45799116104278,0.0016830341761904762,0.9621471803738153,28.517994408078216,116394.41575666831
45,96198.99809326588,65.38537286988577,0.0016484174480603448,0.9619899809326588,28.507671805805586,116375.39877310912
46,96183.27814915022,65.31275457872874,0.0016138007199302134,0.9618327814915022,28.497349203532952,116356.38178954991
47,96167.55820503455,65.24013628757173,0.001579183991800082,0.9616755820503455,28.487026601260318,116337.36480599071
48,96151.8382609189,65.16751799641472,0.0015445672636699506,0.961518382609189,28.476703998987688,116318.34782243153
49,96139.47173203534,65.09251472210416,0.0015099505355398192,0.9613947173203534,28.466042374243873,116303.38758626702
50,96127.10520315178,65.0175114477936,0.0014753338074096878,0.9612710520315177,28.455380749500062,116288.42735010252
51,96114.73867426821,64.94250817348303,0.0014407170792795567,0.9611473867426822,28.444473952947764,116273.46711393802
52,96102.37214538465,64.86750489917247,0.0014061003511494253,0.9610237214538465,28.433492479461638,116258.50687777351
53,96090.00561650109,64.79250162486191,0.0013714836230192939,0.960900056165011,28.422511005975508,116243.54664160903
54,96077.63908761751,64.71749835055135,0.0013368668948891625,0.9607763908761752,28.411529532489382,116228.5864054445
55,96065.27255873395,64.64249507624079,0.001302250166759031,0.9606527255873395,28.400548059003256,116213.62616927999
56,96052.90602985039,64.56749180193023,0.0012676334386289,0.9605290602985039,28.389566585517127,116198.66593311551
57,96040.53950096683,64.49248852761967,0.0012330167104987683,0.9604053950096683,28.378585112031,116183.705696951
58,96028.17297208327,64.41748525330911,0.0011983999823686371,0.9602817297208327,28.36760363854487,116168.74546078651
59,96015.8064431997,64.34248197899855,0.0011637832542385057,0.960158064431997,28.356622165058745,116153.785224622
